Serial ,Date,User,Tweet
134,2022-05-01 10:21:00+00:00,flyingbeast320,"ग्रह प्रवेश पूजा 
Hinduism is a science based way of life.
. 
On 3 dec 1984 , two families remained unaffected from Bhopal gas leak. 
They performed regular अग्निहोत्र (हवन), which is a natural antidote to pollution. https://t.co/LSyHopKoup"
135,2022-04-16 06:28:12+00:00,flyingbeast320,"पवनपुत्र हनुमान की जय 
आप सबको #HanumanJayanti की शुभकामनाएँ"
136,2022-04-14 13:53:27+00:00,flyingbeast320,Agreed. Even after 74 years of independence we are unable to decolonize .
137,2022-04-11 14:40:40+00:00,flyingbeast320,@sanath1212 Next date… tarik pe tarik
138,2022-04-11 14:34:19+00:00,flyingbeast320,"Bye Bye Lucknow !! Will miss you 
Hello Dilli https://t.co/xG6mR25R14"
139,2022-04-09 10:40:22+00:00,flyingbeast320,"जय माता दीं 
अष्टमी 
#Navratri 
@captriturathee https://t.co/Lmok87K6XB"
140,2022-04-05 14:46:07+00:00,flyingbeast320,No caption https://t.co/WB0eiDSIb4
141,2022-04-05 06:21:35+00:00,flyingbeast320,"Court hearing date today finally !! जय माता दी 
#AirAsia"
142,2022-04-02 07:01:44+00:00,flyingbeast320,"जय माता दी 
#HappyNavratri 
#HappyUgadi"
143,2022-03-27 05:07:31+00:00,flyingbeast320,@sairat_fantasy @captriturathee @StarPlus 🤗
144,2022-03-23 14:56:23+00:00,flyingbeast320,“Terrorist dressed as Army men”
145,2022-03-23 14:14:34+00:00,flyingbeast320,Pilot Fatigue - Exactly what I stood up for and I was fired by @AirAsiaIndia
146,2022-03-23 05:44:56+00:00,flyingbeast320,"Dear @amazonIN . Tried every possible way before tweeting. Issue unresolved. DM’d you details , but you have blocked me out of your DM.
I think you team has taken my #SehLengeThoda seriously. https://t.co/RT4fytOlUv"
147,2022-03-22 19:05:56+00:00,flyingbeast320,OMG… is humanity alive ?
148,2022-03-20 06:15:19+00:00,flyingbeast320,"A generation which ignores history has no past and no future.

#TheKashmirFiles https://t.co/gAaCmuDtb1"
149,2022-03-18 11:00:14+00:00,flyingbeast320,* पावन अवसर पर *
